P (mbar)	T (K)	logP(mbar)	T (experiment)	P(experiment)																											
mbar	K		K	mbar																											
2.04173794466953	1.34220472406473	0.31			1.34220472406473																										
2.04644463672467	1.34259397681875	0.311			1.34259397681875																										
2.05116217882557	1.34298354482121	0.312			1.34298354482121																										
2.05589059598414	1.343373427343	0.313			1.343373427343																										
2.06062991327	1.3437636236582	0.314			1.3437636236582																										
2.06538015581053	1.3441541330441	0.315			1.3441541330441																										
2.07014134879104	1.34454495478113	0.316			1.34454495478113																										
2.07491351745491	1.34493608815294	0.317			1.34493608815294																										
2.0796966871037	1.34532753244629	0.318			1.34532753244629																										
2.08449088309729	1.34571928695117	0.319			1.34571928695117																										
2.08929613085404	1.34611135096066	0.32			1.34611135096066																										
2.09411245585089	1.34650372377105	0.321			1.34650372377105																										
2.09893988362352	1.34689640468173	0.322			1.34689640468173																										
2.10377843976648	1.34728939299528	0.323			1.34728939299528																										
2.10862814993329	1.34768268801738	0.324			1.34768268801738																										
2.11348903983665	1.34807628905686	0.325			1.34807628905686																										
2.1183611352485	1.34847019542566	0.326			1.34847019542566																										
2.12324446200022	1.34886440643888	0.327			1.34886440643888																										
2.12813904598271	1.34925892141469	0.328			1.34925892141469																										
2.13304491314658	1.34965373967441	0.329			1.34965373967441																										
2.13796208950223	1.35004886054245	0.33			1.35004886054245																										
2.14289060112006	1.35044428334631	0.331			1.35044428334631																										
2.14783047413053	1.35084000741663	0.332			1.35084000741663																										
2.15278173472437	1.35123603208708	0.333			1.35123603208708																										
2.15774440915267	1.35163235669448	0.334			1.35163235669448																										
2.16271852372702	1.35202898057869	0.335			1.35202898057869																										
2.16770410481969	1.35242590308265	0.336			1.35242590308265																										
2.17270117886374	1.3528231235524	0.337			1.3528231235524																										
2.17770977235316	1.35322064133702	0.338			1.35322064133702																										
2.182729911843	1.35361845578865	0.339			1.35361845578865																										
2.18776162394955	1.35401656626252	0.34			1.35401656626252																										
2.19280493535045	1.35441497211687	0.341			1.35441497211687																										
2.19785987278483	1.35481367271302	0.342			1.35481367271302																										
2.20292646305346	1.35521266741531	0.343			1.35521266741531																										
2.2080047330189	1.35561195559112	0.344			1.35561195559112																										
2.21309470960564	1.35601153661088	0.345			1.35601153661088																										
2.21819641980022	1.35641140984802	0.346			1.35641140984802																										
2.2233098906514	1.35681157467902	0.347			1.35681157467902																										
2.2284351492703	1.35721203048335	0.348			1.35721203048335																										
2.23357222283053	1.35761277664351	0.349			1.35761277664351																										
2.23872113856834	1.358013812545	0.35			1.358013812545																										
