Acquisition Time (ms)	Shunt Voltage (V)	Sample Voltage (V)	Integrated Sample Voltage (V)					
milliseconds	Volts	Volts	Volts					
7496250	1.8474594	3.168674855E-4	-0.0076340184	-0.0187640184		0.0034959816	91	66.5085384
7496500	1.868163	3.583690119E-4	-0.0072826494	-0.0184196494		0.0038543506	92	67.253868
7496750	1.8887102	3.952747016E-4	-0.0068943747	-0.0180383747		0.0042496253	93	67.9935672
7497000	1.9084965	5.121031125E-4	-0.0063892716	-0.0175402716		0.0047617284	94	68.705874
7497250	1.9286597	6.80010325E-4	-0.0057162613	-0.0168742613		0.0054417387	95	69.4317492
7497500	1.9489797	8.495047827E-4	-0.0048737565	-0.0160387565		0.0062912435	96	70.1632692
7497750	1.9693247	0.0010560081	-0.0038247484	-0.0149967484		0.0073472516	97	70.8956892
7498000	1.9898305	0.0012832711	-0.0025484774	-0.0137274774		0.0086305226	98	71.633898
7498250	2.0099027	0.0013436985	-0.0012117789	-0.0123977789		0.0099742211	99	72.3564972
7498500	2.0302312	0.0015428484	3.24069499999998E-4	-0.0108689305		0.0115170695	100	73.0883232
7498750	2.0507254	0.0016233137	0.0019403832	-0.0092596168		0.0131403832	101	73.8261144
7499000	2.0705001	0.0016041815	0.0035375647	-0.0076694353		0.0147445647	102	74.5380036
7499250	2.0907038	0.001607625	0.0051381897	-0.0060758103		0.0163521897	103	75.2653368
7499500	2.1110279	0.0016097638	0.0067409535	-0.0044800465		0.0179619535	104	75.9970044
7499750	2.1313608	0.0015510043	0.0082849578	-0.0029430422		0.0195129578	105	76.7289888
7500000	2.1520172	0.0013469312	0.0096248891	-0.0016101109		0.0208598891	106	77.4726192
7500250	2.1726228	9.180791501E-4	0.0105359682	-7.060318E-4		0.0217779682	107	78.2144208
7500500	2.1932154	2.666361113E-4	0.0107956043	-4.53395700000001E-4		0.0220446043	108	78.9557544
7500750	2.2136531	1.576587346E-4	0.0109462631	-3.097369E-4		0.0222022631	109	79.6915116
7501000	2.2333386	1.401721364E-4	0.0110794352	-1.83564800000001E-4		0.0223424352	110	80.4001896
7501250	2.2536172	1.31922049E-4	0.0112043573	-6.56427000000001E-5		0.0224743573	111	81.1302192
7501500	2.2739809	1.379123299E-4	0.0113352696	5.82696000000008E-5		0.0226122696	112	81.8633124
7501750	2.2945112	1.391901967E-4	0.0114674598	1.83459799999997E-4		0.0227514598	113	82.6024032
7502000	2.3152037	1.346885186E-4	0.0115951483	3.04148299999998E-4		0.0228861483	114	83.3473332
7502250	2.3357847	1.225734446E-4	0.0117107218	4.12721799999998E-4		0.0230087218	115	84.0882492
7502500	2.3561832	1.09090829E-4	0.0118128126	5.07812599999997E-4		0.0231178126	116	84.8225952
7502750	2.3763357	1.047505657E-4	0.0119105631	5.98563099999998E-4		0.0232225631	117	85.5480852
7503000	2.396056	1.173364327E-4	0.0120208996	7.01899599999996E-4		0.0233398996	118	86.258016
7503250	2.4164509	1.298505597E-4	0.0121437501	8.17750099999997E-4		0.0234697501	119	86.9922324
7503500	2.4369923	1.287789451E-4	0.0122655291	9.32529099999999E-4		0.0235985291	120	87.7317228
7504000	2.4336843	-1.28266181E-5	0.0122457025	9.05702499999998E-4		0.0235857025	121	87.6126348
7504250	2.4133286	-7.44286252E-5	0.0121642738	8.17273800000001E-4		0.0235112738	122	86.8798296
7504501	2.3931654	-8.32929652E-5	0.0120739809	7.199809E-4		0.0234279809	123	86.1539544
7504750	2.3728361	-9.3941831E-5	0.011973039	6.12038999999998E-4		0.023334039	124	85.4220996
7505000	2.3521774	-9.3740063E-5	0.011872299	5.04298999999996E-4		0.023240299	125	84.6783864
7505250	2.3315099	-8.79784662E-5	0.0117773205	4.02320499999994E-4		0.0231523205	126	83.9343564
7505500	2.3111173	-8.26204053E-5	0.0116877001	3.05700099999999E-4		0.0230697001	127	83.2002228
7505750	2.290755	-7.39040284E-5	0.0116067961	2.17796099999999E-4		0.0229957961	128	82.46718
7506000	2.2710204	-7.42582433E-5	0.0115255378	1.29537799999998E-4		0.0229215378	129	81.7567344
7506250	2.2508051	-7.72488932E-5	0.0114412889	3.82888999999973E-5		0.0228442889	130	81.0289836
7506500	2.2303746	-8.2490377E-5	0.0113517986	-5.82014000000044E-5		0.0227617986	131	80.2934856
7506751	2.2096692	-8.21630645E-5	0.0112626355	-1.54364500000002E-4		0.0226796355	132	79.5480912
7507000	2.1890841	-7.77779737E-5	0.0111778575	-2.46142499999999E-4		0.0226018575	133	78.8070276
7507250	2.1691151	-7.24782013E-5	0.0110983793	-3.32620700000003E-4		0.0225293793	134	78.0881436
7507500	2.1486695	-6.58646952E-5	0.0110255146	-4.12485400000001E-4		0.0224635146	135	77.352102
7507750	2.1285353	-6.05873415E-5	0.0109579273	-4.87072700000002E-4		0.0224029273	136	76.6272708
7508000	2.1083863	-5.66999451E-5	0.0108942273	-5.57772700000002E-4		0.0223462273	137	75.9019068
7508250	2.0879844	-5.11356325E-5	0.0108360917	-6.22908300000001E-4		0.0222950917	138	75.1674384
7508500	2.067328	-4.37016032E-5	0.0107853901	-6.80609900000006E-4		0.0222513901	139	74.423808
7508751	2.0465718	-3.61465132E-5	0.0107422436	-7.30756400000003E-4		0.0222152436	140	73.6765848
7509000	2.0261948	-2.39462758E-5	0.0107112973	-7.687027E-4		0.0221912973	141	72.9430128
7509250	2.0058146	-1.3517113E-5	0.0106907802	-7.96219799999999E-4		0.0221777802	142	72.2093256
7509500	1.9855342	-5.5226127E-6	0.0106782576	-8.15742400000001E-4		0.0221722576	143	71.4792312
7509750	1.9656967	-2.856007701E-7	0.010670972	-8.30027999999998E-4		0.022171972	144	70.7650812
7510000	1.9454471	9.025911583E-7	0.0106648746	-8.431254E-4		0.0221728746	145	70.0360956
7510250	1.9248268	1.7589861E-6	0.0106596336	-8.553664E-4		0.0221746336	146	69.2937648
7510500	1.9041219	2.8844056E-6	0.010655518	-8.66482E-4		0.022177518	147	68.5483884
7510750	1.8836067	3.2924262E-6	0.0106518104	-8.77189600000003E-4		0.0221808104	148	67.8098412
7511000	1.8637394	4.7182566E-6	0.0106495287	-8.86471300000002E-4		0.0221855287	149	67.0946184
7511250	1.8436346	4.4402645E-6	0.0106469689	-8.96031100000002E-4		0.0221899689	150	66.3708456
7511500	1.8233756	3.8663454E-6	0.0106438353	-9.06164700000002E-4		0.0221938353	151	65.6415216
