Acquisition Time (ms)	Shunt Voltage (V)	Sample Voltage (V)	Integrated Sample Voltage (V)						
milliseconds	Volts	Volts	Volts						
5058500	2.3526065	-6.36945685E-5	0.0119840039	0.0110154039				127	84.693834
5058750	2.3325043	-5.72021232E-5	0.0119207018	0.0109460018				128	83.9701548
5059000	2.311983	-5.14853636E-5	0.0118631164	0.0108823164				129	83.231388
5059250	2.2915008	-4.52529748E-5	0.0118117634	0.0108248634				130	82.4940288
5059500	2.2705962	-3.99218164E-5	0.0117657416	0.0107727416				131	81.7414632
5059750	2.249403	-3.39225817E-5	0.011725719	0.010726619				132	80.978508
5060000	2.2285274	-2.95554258E-5	0.0116900636	0.0106848636				133	80.2269864
5060251	2.2077543	-2.52241397E-5	0.0116587395	0.0106474395				134	79.4791548
5060500	2.1872173	-2.05924436E-5	0.011632047	0.010614647				135	78.7398228
5060750	2.1668505	-1.54540856E-5	0.0116104929	0.0105869929				136	78.006618
5061001	2.1466704	-1.12035068E-5	0.0115931894	0.0105635894				137	77.2801344
5061250	2.1259044	-8.5670718E-6	0.0115785224	0.0105428224				138	76.5325584
5061500	2.1048168	-4.8231488E-6	0.0115675992	0.0105257992				139	75.7734048
5061750	2.0839465	-2.0297768E-6	0.0115594694	0.0105115694				140	75.022074
5062000	2.0631663	-2.228283663E-7	0.0115531466	0.0104991466				141	74.2739868
5062250	2.0425242	1.3375142E-6	0.0115483841	0.0104882841				142	73.5308712
5062500	2.0219823	2.4898362E-6	0.011544774	0.010478574				143	72.7913628
5062750	2.0015705	2.005592E-6	0.0115406796	0.0104683796				144	72.056538
5063000	1.9811422	3.1310115E-6	0.0115377106	0.0104593106				145	71.3211192
5063250	1.9600194	3.1848164E-6	0.0115347954	0.0104502954				146	70.5606984
5063500	1.9391206	2.6064135E-6	0.0115313018	0.0104407018				147	69.8083416
5063750	1.9184718	2.9068243E-6	0.0115281086	0.0104314086				148	69.0649848
5064000	1.8983456	2.9337268E-6	0.0115249423	0.0104221423				149	68.3404416
5064251	1.8777253	3.4986784E-6	0.011522341	0.010413441				150	67.5981108
5064500	1.8571647	3.26104E-6	0.0115195021	0.0104045021				151	66.8579292
5064750	1.8362067	3.3282962E-6	0.0115167304	0.0103956304				152	66.1034412
5065000	1.8152759	4.3640409E-6	0.0115149944	0.0103877944				153	65.3499324
5065250	1.7943669	4.5747768E-6	0.0115134692	0.0103801692				154	64.5972084
5065500	1.7743392	3.2520726E-6	0.0115106213	0.0103712213				155	63.8762112
5065750	1.7537126	4.5658093E-6	0.0115090871	0.0103635871				156	63.1336536
